"subj","date","run","ASCor","ASErrCor","ASErr","Dropped","total","AScor.lat","ASErrCor.lat","ASErr.lat"
11681,20200730,1,37,9,1,1,48,295.162162162162,222.555555555556,171
11682,20180809,1,19,7,3,19,48,319.315789473684,182.571428571429,463.333333333333
11682,20200310,1,24,15,0,9,48,297.708333333333,167.933333333333,NA
11682,20210810,1,28,12,0,8,48,284.428571428571,148.75,NA
11686,20180822,1,21,8,2,17,48,333.380952380952,204.75,320
11686,20220118,1,25,2,0,21,48,335.2,462,NA
11683,20180809,1,19,2,0,27,48,391.789473684211,137,NA
11683,20200228,1,37,4,0,7,48,324.702702702703,205,NA
11683,20211027,1,22,1,0,25,48,325.590909090909,169,NA
11685,20180814,1,8,21,7,12,48,466.625,203.428571428571,188
11685,20220809,1,8,14,2,24,48,352.875,183.571428571429,206.5
11689,20180904,1,22,2,1,23,48,381.272727272727,155,392
11689,20210527,1,47,0,0,1,48,381.574468085106,NA,NA
11693,20180913,1,38,6,0,4,48,280.657894736842,252.166666666667,NA
11693,20200727,1,40,6,2,0,48,264.8,247.833333333333,214.5
11693,20211004,1,37,8,0,3,48,246.054054054054,153,NA
11688,20180827,1,9,32,3,4,48,354.111111111111,159.4375,176.666666666667
11688,20200817,1,3,40,3,2,48,453.333333333333,155.15,426.333333333333
11688,20220221,1,5,38,1,4,48,410.2,136.552631578947,169
11695,20180914,1,24,21,0,3,48,296.958333333333,168.190476190476,NA
11695,20200904,1,34,10,1,3,48,277.588235294118,179,442
11698,20180921,1,32,10,0,6,48,303.65625,186.3,NA
11690,20180905,1,13,13,4,18,48,248.230769230769,154.538461538462,183
11692,20180912,1,11,29,0,8,48,281.363636363636,184,NA
11692,20200914,1,18,26,0,4,48,293.555555555556,175.346153846154,NA
11697,20180920,1,22,18,3,5,48,321.772727272727,221,256.333333333333
11704,20181005,1,28,13,1,6,48,301.964285714286,164.307692307692,154
11704,20210921,1,26,15,0,7,48,260.5,161.266666666667,NA
11701,20180928,1,43,2,0,3,48,244.558139534884,179,NA
11694,20180914,1,39,6,1,2,48,407.307692307692,133.333333333333,292
11707,20181017,1,36,7,0,5,48,307.416666666667,224.285714285714,NA
11707,20200915,1,39,8,0,1,48,222.74358974359,167.5,NA
11707,20220225,1,45,3,0,0,48,246.044444444444,246.333333333333,NA
11700,20180926,1,44,2,0,2,48,350.75,259,NA
11700,20201021,1,32,10,0,6,48,331.9375,243.2,NA
11700,20220421,1,38,5,0,5,48,317.184210526316,209.6,NA
11702,20181002,1,33,2,0,13,48,286.151515151515,200,NA
11702,20210826,1,41,5,0,2,48,256.341463414634,220.4,NA
11735,20181207,1,34,11,2,1,48,384.529411764706,197.818181818182,620
11710,20181023,1,2,0,0,46,48,265,NA,NA
11710,20200910,1,22,14,2,10,48,222.272727272727,130.071428571429,192.5
11709,20181023,1,41,3,0,4,48,373.658536585366,136.333333333333,NA
11703,20181002,1,42,4,0,2,48,244.619047619048,188.25,NA
11715,20181101,1,12,12,1,23,48,236.916666666667,150.75,173
11715,20220413,1,28,14,0,6,48,293.785714285714,142.357142857143,NA
11711,20181029,1,13,31,0,4,48,222.615384615385,153.258064516129,NA
11708,20181022,1,36,10,0,2,48,308.638888888889,222.5,NA
11705,20181016,1,20,24,0,4,48,369.9,182.416666666667,NA
11713,20181030,1,31,16,0,1,48,279.193548387097,155.9375,NA
11713,20200826,1,35,13,0,0,48,239.514285714286,142.846153846154,NA
11713,20211026,1,31,15,0,2,48,237.483870967742,157.733333333333,NA
11716,20181101,1,23,5,3,17,48,248.260869565217,153.2,240.333333333333
11716,20200902,1,33,11,0,4,48,217.909090909091,172.181818181818,NA
11716,20211217,1,39,7,0,2,48,234.051282051282,123.428571428571,NA
11718,20181106,1,16,10,11,11,48,327.1875,152,161.090909090909
11718,20200827,1,0,0,0,48,48,NA,NA,NA
11718,20211218,1,15,29,0,4,48,226.333333333333,157.689655172414,NA
11722,20181119,1,7,34,2,5,48,192.285714285714,140.794117647059,176.5
11724,20181126,1,32,13,0,3,48,338.96875,188.923076923077,NA
11724,20201026,1,17,11,0,20,48,294.764705882353,190.181818181818,NA
11724,20220131,1,35,11,0,2,48,264.485714285714,180.272727272727,NA
11728,20200925,1,29,16,1,2,48,274.172413793103,196.75,282
11726,20181127,1,31,16,0,1,48,261.032258064516,195.125,NA
11729,20181128,1,38,7,0,3,48,294.368421052632,231.428571428571,NA
11725,20181126,1,36,5,0,7,48,397.222222222222,160.2,NA
11725,20200728,1,43,5,0,0,48,282.767441860465,172.4,NA
11725,20211014,1,37,8,0,3,48,281.702702702703,144,NA
11723,20181119,1,24,23,0,1,48,332.625,157.913043478261,NA
11745,20190116,1,19,16,6,7,48,312.894736842105,155.4375,179
11757,20190215,1,35,8,0,5,48,290.485714285714,173.625,NA
11757,20200922,1,34,14,0,0,48,256.529411764706,150.571428571429,NA
11706,20181017,1,19,20,0,9,48,372.421052631579,210.45,NA
11766,20190315,1,15,18,2,13,48,410.8,194.777777777778,444.5
11756,20190213,1,38,9,0,1,48,336.578947368421,217.888888888889,NA
11756,20200924,1,35,8,0,5,48,340.4,225.75,NA
11756,20220311,1,38,7,0,3,48,331.894736842105,224.571428571429,NA
